,vmag,vx,vy,vz,t,x,y,z,inv,ang,E,E_norm,in ang,Emag
0,834.1718970096189,162.1505256797866,0.0,-7.001995703285804,1.301327048225508,282.4954779390504,0.0,-1.9212179561955245,300,-0.043155261753281556,3479.213768803131,-150.09978037643506,1.0,0.2451397191441643
1,833.2832483883287,112.84699253667469,0.0,-13.151376555473796,2.536474596318275,448.5427178207407,0.0,-7.83521934186186,300,-0.11601830335923331,3471.804860223026,-401.8899021040852,2.0113636363636367,0.8647935265193291
2,832.4942179251415,110.29055632983344,0.0,-11.82479094623493,2.631136566902293,458.84963862545567,0.0,-1.0081409434837418,300,-0.10680689713242822,3465.2331143939646,-369.4075117442464,3.022727272727273,0.699128404610798
3,832.0531878986515,76.24155141900444,0.0,-21.97655740831459,4.459388342216834,625.2780286757971,0.0,-22.413461141824833,300,-0.2806415799912935,3461.5625374615433,-958.7565415368626,4.034090909090909,2.4148453776047347
4,831.8402799454698,76.35675416769692,0.0,-20.607273186496037,4.453216058279997,624.2428033780549,0.0,-11.26386182339856,300,-0.2636013564418799,3459.7912566987875,-901.4804143560792,5.045454545454546,2.123298540914393
5,831.6805873371179,52.199097170602,0.0,-34.045951385722574,6.9934149025272845,783.5876069160695,0.0,-68.66435863839146,300,-0.5779430902425838,3458.462996767067,-1889.3661184326327,6.0568181818181825,5.795634028794924
6,831.3693013354384,50.91219695086144,0.0,-34.24142602697039,7.194948021161882,793.1819153557562,0.0,-61.70592461882737,300,-0.592070416050252,3455.8745760148754,-1928.6552510981471,7.068181818181818,5.862376281802425
7,831.1201029627606,50.18834147526329,0.0,-34.051700991674295,7.317712600642774,798.3610631310073,0.0,-51.92474145805208,300,-0.5961353771907667,3453.803127744149,-1939.1331170534017,8.079545454545455,5.79759170213196
8,830.9025606463143,49.82473347023196,0.0,-33.5903198983476,7.386137345385359,800.5084185874567,0.0,-40.193968481476205,300,-0.5931789602669088,3451.99532644301,-1929.6644714452218,9.090909090909092,5.641547954366635
9,830.7214879799966,49.68842435347487,0.0,-32.93939068349872,7.418045350630544,800.5667333600513,0.0,-27.181001913457543,300,-0.5854034369883275,3450.4909529584984,-1906.5193915120274,10.102272727272728,5.4250172930008125
10,830.5154425683883,49.68877736487042,0.0,-32.159948875071834,7.426494552281868,799.2010116740412,0.0,-13.38113114733121,300,-0.5744237985445773,3448.7795017228295,-1873.8983311387324,11.113636363636365,5.17131155823617
11,830.3526155791436,29.87620367980011,0.0,-50.11917830536213,11.499310296817004,955.8067245120127,0.0,-168.45230192120354,300,-1.0332470308399357,3447.427330995625,-2961.2232080923545,12.125000000000002,12.559660170023408
12,830.1895524961501,29.783523190451362,0.0,-49.91184880242278,11.553467206180864,955.4565309262291,0.0,-154.6819561985356,300,-1.0327902380993137,3446.0734653687896,-2959.2539631574823,13.136363636363637,12.455963254379563
13,830.0252273117632,29.80642283792114,0.0,-49.593128755756496,11.57524060240085,953.8463602896479,0.0,-139.28418189639942,300,-1.0296277477544624,3444.7093898697203,-2952.485520768133,14.147727272727273,12.29739209892521
14,829.8585375213013,29.65106405413364,0.0,-49.44052012684224,11.643111849807642,953.3205230674889,0.0,-126.1624779269541,300,-1.0305738783390381,3443.325961484965,-2952.9766879513636,15.15909090909091,12.221825152063461
15,829.6925245078427,29.201114861340052,0.0,-49.57936337808596,11.79028456032325,954.8328705594663,0.0,-116.9442291205597,300,-1.0385212500556396,3441.9484261209855,-2965.7710778622486,16.170454545454547,12.290566364881457
16,829.5296143832115,28.822457900862535,0.0,-49.657814739718226,11.918574736019224,955.4509704630062,0.0,-106.77760466697109,300,-1.0448972729574442,3440.5969056937984,-2975.679279844071,17.181818181818183,12.329492823620884
17,829.3704516410456,28.502395275674107,0.0,-49.68495312687506,12.030618772619253,955.2685415684192,0.0,-95.79548519987375,300,-1.0499677817692914,3439.2767302763605,-2983.2533789787267,18.19318181818182,12.342972836098859
18,829.2146968478814,28.231326561935465,0.0,-49.66740146656285,12.128435327927102,954.355318539798,0.0,-84.1028751723102,300,-1.0539305527296474,3437.98506734262,-2988.8888110228504,19.204545454545457,12.334253842203648
19,829.057738914973,28.001051831990594,0.0,-49.61087834533093,12.213827087621839,952.7707257310094,0.0,-71.79580095862356,300,-1.056954440521495,3436.683672274038,-2992.87910607027,20.215909090909093,12.306196250976127
20,828.9003408179095,27.804085199679605,0.0,-49.520839252371076,12.28853442723822,950.5694546240246,0.0,-58.96822275242944,300,-1.0591954847566685,3435.3788750402327,-2995.5194740321854,21.22727272727273,12.261567601295878
21,828.7423898143109,27.63349839065699,0.0,-49.40261160203053,12.354251150732827,947.8027069723097,0.0,-45.71224069968824,300,-1.0608006898243283,3434.069743375676,-2997.0728217090423,22.238636363636367,12.20309016550541
22,828.583920766272,27.48298305575402,0.0,-49.261301462565086,12.412581835115079,944.5175928587254,0.0,-32.115530213032116,300,-1.0619065020593197,3432.7565687620386,-2997.7780195304904,23.250000000000004,12.133379108928587
23,828.4250350115406,27.346950084085094,0.0,-49.10164688911213,12.46499115370165,940.7561767009415,0.0,-18.25852552747648,300,-1.0626361849112538,3431.440193169361,-2997.847551612147,24.26136363636364,12.054858636115275
24,828.2658627760264,27.220584216267852,0.0,-48.9279054083471,12.512769320195716,936.5548684822452,0.0,-4.212546123021866,300,-1.0630980680051842,3430.1216972005777,-2997.4662208832533,25.272727272727273,11.969699638240806
25,828.1065433059945,14.1307337634909,0.0,-61.281525197238636,17.561278704395548,1032.2887615703005,0.0,-270.6106347163076,300,-1.3441703365137136,3428.8022353310143,-3341.1279331014957,26.28409090909091,18.777126652498968
26,827.9472139316763,14.146052741174756,0.0,-61.19019432994534,17.57312207819008,1026.510884181282,0.0,-254.0025613447272,300,-1.3436059064234225,3427.4829452861245,-3339.407163634063,27.295454545454547,18.721199410682374
27,827.7880042872085,14.160801657458203,0.0,-61.09647789073497,17.583289424898286,1020.372017448006,0.0,-237.36361997010425,300,-1.3430402030424446,3426.164900208998,-3337.68589354496,28.306818181818183,18.663898053265335
28,827.6290335862874,14.17388362405105,0.0,-61.0010518030771,17.59229450090449,1013.8786333189533,0.0,-220.73118991046462,300,-1.3424926581573955,3424.84908617486,-3335.9801409416514,29.31818181818182,18.60564160540848
29,827.470409611009,14.184487005438442,0.0,-60.90441373365596,17.600499588567125,1007.035093145312,0.0,-204.13328630186015,300,-1.3419777428122714,3423.5363939090553,-3334.3020949571082,30.329545454545457,18.5467380612017
30,827.3122285278356,14.192029676567374,0.0,-60.80691022073216,17.608144419510346,999.8440465344574,0.0,-187.59038903028105,300,-1.3415058982028927,3422.2276173584683,-3332.6607894008425,31.340909090909093,18.48740165296091
31,827.1545749483818,14.196114693354925,0.0,-60.708757922455455,17.61536915814247,992.3067513567217,0.0,-171.11689686150297,300,-1.3410842736548942,3420.923454290191,-3331.0626371691665,32.352272727272734,18.42776644243649
32,826.9975218484014,14.196497007154202,0.0,-60.610058495628245,17.622231516699998,984.423315157451,0.0,-154.72221365751625,300,-1.3407172747599012,3419.6245057169863,-3329.511825579007,33.36363636363637,18.36789595421739
33,826.8411300699738,14.19306034424135,0.0,-60.51080694265504,17.62871840046691,976.1928628182688,0.0,-138.4114940878493,300,-1.3404069333698432,3418.331271876957,-3328.010578751971,34.375,18.307788784256346
34,826.6854471770731,14.18580339463379,0.0,-60.41089322131357,17.63475249211243,967.6136356826632,0.0,-122.18607701265938,300,-1.3401531104038877,3417.044142871787,-3326.559292424997,35.38636363636364,18.24738009898475
35,826.5453692736007,14.071533327345719,0.0,-60.4002274501204,17.694320685327995,959.4466138397427,0.0,-109.31502983128476,300,-1.341907544374545,3415.886237338165,-3326.7969402915523,36.39772727272727,18.24093738013139
36,826.4072138087294,13.950664022836639,0.0,-60.39392564448869,17.75535920624781,950.9489643874649,0.0,-96.65236566543373,300,-1.343783620059685,3414.744415175535,-3327.132608840261,37.409090909090914,18.23713127376014
37,826.2678408045166,13.844662710937081,0.0,-60.3728842969298,17.806384603065453,941.9601833282957,0.0,-83.50989370581138,300,-1.345374611398535,3413.59272373879,-3327.2285991284616,38.42045454545455,18.224425791652365
38,826.1273899190238,13.751772186943318,0.0,-60.33795804051405,17.848046703727512,932.4912387679954,0.0,-69.93370650311232,300,-1.3467115022674834,3412.4323218720942,-3327.1142804697974,39.43181818181819,18.203345902494174
39,825.9860662284896,13.669919469360622,0.0,-60.29029449346548,17.881198664271725,922.5553629536563,0.0,-55.98254600075799,300,-1.3478311084824481,3411.264908018074,-3326.822666307111,40.44318181818182,18.17459805054397
40,825.8464249554846,13.574195627321831,0.0,-60.252480400761605,17.919213709960836,912.3356270255106,0.0,-42.47104023185878,300,-1.3492072287828583,3410.1115880587745,-3326.732412668322,41.45454545454546,18.151806972220808
41,825.7122972223644,13.429712093449536,0.0,-60.257993575973366,17.981437090486963,902.0900833397967,0.0,-30.572527656575147,300,-1.3515099649878126,3409.0039889211716,-3327.368358389059,42.46590909090909,18.155128949010237
42,825.5781203728893,13.292628323917123,0.0,-60.254466722373465,18.037171348499424,891.3991805048662,0.0,-18.440062737557753,300,-1.3536659915743128,3407.8961641921646,-3327.877658408739,43.477272727272734,18.153003799988056
43,825.4441817165582,13.160664181120149,0.0,-60.24358259779324,18.08743273686025,880.2777128364057,0.0,-6.141713257470684,300,-1.3557177592269356,3406.790485648592,-3328.2967689499833,44.48863636363637,18.146446221085686
44,825.3107330919333,6.924481689020105,0.0,-64.97968681697282,22.681046644559526,912.8040962474573,0.0,-280.4885811963385,300,-1.4646331845044824,3405.6890307837225,-3386.514948415644,45.50000000000001,21.111798494159352
45,825.1779850612603,6.865509296671021,0.0,-64.97402330397992,22.715604663491966,900.3822061478639,0.0,-267.5188746630463,300,-1.4655215230606433,3404.593535148808,-3385.7447649789224,46.51136363636364,21.108118521530628
46,825.046101487704,6.808409084128546,0.0,-64.96614528545605,22.745003077286,887.54912757469,0.0,-254.4044517548579,300,-1.4663781461202234,3403.505347900294,-3384.967724651208,47.52272727272728,21.10300016625492
47,824.9151937755882,6.75232713589601,0.0,-64.95639365785269,22.769891024028297,874.3087012878758,0.0,-241.1947183130028,300,-1.467216656467819,3402.425384609082,-3384.1898146462545,48.534090909090914,21.096665385169622
48,824.7853143614743,6.6966031220828395,0.0,-64.94500473569427,22.790728461873076,860.6633862393907,0.0,-227.92685093232973,300,-1.4680475395619963,3401.3540739317805,-3383.4152841211016,49.54545454545455,21.08926820059676
49,824.6564495059632,6.640758471793984,0.0,-64.93211055339808,22.80778897430732,846.6143446651993,0.0,-214.62597618119332,300,-1.4688783489128334,3400.2912985589064,-3382.6467007021197,50.55681818181819,21.080894904593546
50,824.5285120803845,6.584481146415027,0.0,-64.9177402557413,22.821166830029345,832.1615506302322,0.0,-201.3056316210273,300,-1.469713943780778,3399.2363361674643,-3381.885017416836,51.56818181818182,21.07156499955947
51,824.4013358863714,6.527603288011095,0.0,-64.90182521205702,22.830792105147978,817.3039479370932,0.0,-187.96875497343186,300,-1.4705568406628515,3398.1878130561686,-3381.1296851095076,52.57954545454546,21.061234579282
