,vmag,vx,vy,vz,t,x,y,z,inv,ang,E,E_norm,in ang,Emag
0,822.4614912196874,4.1868749170774134e-16,0.0,-66.73921457320385,29.436179340446007,1.0086220648510973e-13,0.0,-338.3292404682525,300,-1.5707963267948966,3382.21452269656,0,90.0,22.270613809240725
1,822.4614912196874,4.1868749170774134e-16,0.0,-66.73921457320385,29.436179340446007,1.0086220648510973e-13,0.0,-338.3292404682525,300,-1.5707963267948966,3382.21452269656,0,90.0,22.270613809240725
2,822.4614912196874,4.1868749170774134e-16,0.0,-66.73921457320385,29.436179340446007,1.0086220648510973e-13,0.0,-338.3292404682525,300,-1.5707963267948966,3382.21452269656,0,90.0,22.270613809240725
3,822.4614912196874,4.1868749170774134e-16,0.0,-66.73921457320385,29.436179340446007,1.0086220648510973e-13,0.0,-338.3292404682525,300,-1.5707963267948966,3382.21452269656,0,90.0,22.270613809240725
4,822.4614912196874,4.1868749170774134e-16,0.0,-66.73921457320385,29.436179340446007,1.0086220648510973e-13,0.0,-338.3292404682525,300,-1.5707963267948966,3382.21452269656,0,90.0,22.270613809240725
5,822.4614912196874,4.1868749170774134e-16,0.0,-66.73921457320385,29.436179340446007,1.0086220648510973e-13,0.0,-338.3292404682525,300,-1.5707963267948966,3382.21452269656,0,90.0,22.270613809240725
6,822.4614912196874,4.1868749170774134e-16,0.0,-66.73921457320385,29.436179340446007,1.0086220648510973e-13,0.0,-338.3292404682525,300,-1.5707963267948966,3382.21452269656,0,90.0,22.270613809240725
7,822.4614912196874,4.1868749170774134e-16,0.0,-66.73921457320385,29.436179340446007,1.0086220648510973e-13,0.0,-338.3292404682525,300,-1.5707963267948966,3382.21452269656,0,90.0,22.270613809240725
8,822.4614912196874,4.1868749170774134e-16,0.0,-66.73921457320385,29.436179340446007,1.0086220648510973e-13,0.0,-338.3292404682525,300,-1.5707963267948966,3382.21452269656,0,90.0,22.270613809240725
9,822.4614912196874,4.1868749170774134e-16,0.0,-66.73921457320385,29.436179340446007,1.0086220648510973e-13,0.0,-338.3292404682525,300,-1.5707963267948966,3382.21452269656,0,90.0,22.270613809240725
10,822.4614912196874,4.1868749170774134e-16,0.0,-66.73921457320385,29.436179340446007,1.0086220648510973e-13,0.0,-338.3292404682525,300,-1.5707963267948966,3382.21452269656,0,90.0,22.270613809240725
11,822.4614912196874,4.1868749170774134e-16,0.0,-66.73921457320385,29.436179340446007,1.0086220648510973e-13,0.0,-338.3292404682525,300,-1.5707963267948966,3382.21452269656,0,90.0,22.270613809240725
