,vmag,vx,vy,vz,t,x,y,z,inv,ang,E,E_norm,in ang,Emag
0,834.1718970096189,[223.4946262],[0.],[-0.58174138],1.301327048225508,[135.11163019],[0.],[1.13546452],300,-0.043155261753281556,3479.213768803131,-150.09978037643506,1.0,[0.00169212]
1,833.2832483883287,[159.32805761],[0.],[-4.55268467],2.536474596318275,[290.3909399],[0.],[2.84797254],300,-0.11601830335923331,3471.804860223026,-401.8899021040852,2.0113636363636367,[0.10363469]
2,832.4942179251415,[158.68768408],[0.],[-1.83393651],2.631136566902293,[291.80333817],[0.],[7.95441415],300,-0.10680689713242822,3465.2331143939646,-369.4075117442464,3.022727272727273,[0.01681662]
3,832.0531878986515,[109.20641181],[0.],[-10.17896984],4.459388342216834,[462.88482808],[0.],[6.6835174],300,-0.2806415799912935,3461.5625374615433,-958.7565415368626,4.034090909090909,[0.51805714]
4,831.8402799454698,[108.86397011],[0.],[-8.33662817],4.453216058279997,[463.50860546],[0.],[14.76291713],300,-0.2636013564418799,3459.7912566987875,-901.4804143560792,5.045454545454546,[0.34749685]
5,831.6805873371179,[76.8706374],[0.],[-19.02142148],6.9934149025272845,[620.52578947],[0.],[0.48128614],300,-0.5779430902425838,3458.462996767067,-1889.3661184326327,6.0568181818181825,[1.80907238]
6,831.3693013354384,[75.17417857],[0.],[-18.55992088],7.194948021161882,[629.57095416],[0.],[9.04280139],300,-0.592070416050252,3455.8745760148754,-1928.6552510981471,7.068181818181818,[1.72235332]
7,831.1201029627606,[74.11676896],[0.],[-17.81942723],7.317712600642774,[634.67497444],[0.],[18.67994412],300,-0.5961353771907667,3453.803127744149,-1939.1331170534017,8.079545454545455,[1.58765993]
8,830.9025606463143,[73.47745276],[0.],[-16.86957446],7.386137345385359,[636.98302009],[0.],[29.05129589],300,-0.5931789602669088,3451.99532644301,-1929.6644714452218,9.090909090909092,[1.42291271]
9,830.7214879799966,[73.09221628],[0.],[-15.77548363],7.418045350630544,[637.41221274],[0.],[39.87075658],300,-0.5854034369883275,3450.4909529584984,-1906.5193915120274,10.102272727272728,[1.24432942]
10,830.5154425683883,[72.84572744],[0.],[-14.59069788],7.426494552281868,[636.6412605],[0.],[50.92978513],300,-0.5744237985445773,3448.7795017228295,-1873.8983311387324,11.113636363636365,[1.06444232]
11,830.3526155791436,[49.76962985],[0.],[-31.29161438],11.499310296817004,[796.83126947],[0.],[0.88415645],300,-1.0332470308399357,3447.427330995625,-2961.2232080923545,12.125000000000002,[4.89582565]
12,830.1895524961501,[49.89990139],[0.],[-30.35624948],11.553467206180864,[793.6909265],[0.],[15.42849886],300,-1.0327902380993137,3446.0734653687896,-2959.2539631574823,13.136363636363637,[4.60750941]
13,830.0252273117632,[50.06508711],[0.],[-29.36276044],11.57524060240085,[789.88653919],[0.],[30.1545964],300,-1.0296277477544624,3444.7093898697203,-2952.485520768133,14.147727272727273,[4.3108585]
14,829.8585375213013,[49.89463476],[0.],[-28.67788326],11.643111849807642,[788.38895421],[0.],[43.34187173],300,-1.0305738783390381,3443.325961484965,-2952.9766879513636,15.15909090909091,[4.11210494]
15,829.6925245078427,[49.28807452],[0.],[-28.43648145],11.79028456032325,[790.08871604],[0.],[54.56335693],300,-1.0385212500556396,3441.9484261209855,-2965.7710778622486,16.170454545454547,[4.04316738]
16,829.5296143832115,[48.77383172],[0.],[-28.11613508],11.918574736019224,[790.7492216],[0.],[66.26597698],300,-1.0448972729574442,3440.5969056937984,-2975.679279844071,17.181818181818183,[3.95258526]
17,829.3704516410456,[48.33462128],[0.],[-27.7255139],12.030618772619253,[790.48446598],[0.],[78.37627111],300,-1.0499677817692914,3439.2767302763605,-2983.2533789787267,18.19318181818182,[3.8435206]
18,829.2146968478814,[47.95682997],[0.],[-27.27139387],12.128435327927102,[789.38422086],[0.],[90.83126689],300,-1.0539305527296474,3437.98506734262,-2988.8888110228504,19.204545454545457,[3.71864462]
19,829.057738914973,[47.62859755],[0.],[-26.76026235],12.213827087621839,[787.52851786],[0.],[103.57170491],300,-1.056954440521495,3436.683672274038,-2992.87910607027,20.215909090909093,[3.58055821]
20,828.9003408179095,[47.33914796],[0.],[-26.19883042],12.28853442723822,[784.99251457],[0.],[116.54048612],300,-1.0591954847566685,3435.3788750402327,-2995.5194740321854,21.22727272727273,[3.43189358]
21,828.7423898143109,[47.07870092],[0.],[-25.59396661],12.354251150732827,[781.84667911],[0.],[129.68356904],300,-1.0608006898243283,3434.069743375676,-2997.0728217090423,22.238636363636367,[3.27525563]
22,828.583920766272,[46.83857453],[0.],[-24.95240496],12.412581835115079,[778.15534382],[0.],[142.95149512],300,-1.0619065020593197,3432.7565687620386,-2997.7780195304904,23.250000000000004,[3.11311257]
23,828.4250350115406,[46.61127787],[0.],[-24.28044425],12.46499115370165,[773.97531059],[0.],[156.30055156],300,-1.0626361849112538,3431.440193169361,-2997.847551612147,24.26136363636364,[2.94769987]
24,828.2658627760264,[46.39052086],[0.],[-23.58373933],12.512769320195716,[769.35517989],[0.],[169.69323686],300,-1.0630980680051842,3430.1216972005777,-2997.4662208832533,25.272727272727273,[2.7809638]
